NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,AVG,MIN,MAX,delay_0-0.1,delay_0.1-0.3,delay_0.3-1,delay_1-3,delay_3-10,delay_10-30,delay_30-100,gt100,IdLogNum,FailureDescription
X13146PAZ,5002,1/11/105,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,1,0,50,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5002,1/11/103,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,2,0,29,86400,0,0,0,0,0,0,0,0,PM Failure - NE PM data is invalid
X13146PAZ,5002,1/11/116,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,2,0,23,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5002,1/11/106,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,1,0,17,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5013,1/7/103,2019-03-25 00:00:00,24,Near End,GC0052-TN01.1,AMM 6PC,-,1,0,12,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,5013,1/7/101,2019-03-25 00:00:00,24,Near End,GC0052-TN01.1,AMM 6PC,-,1,0,21,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,5018,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GC0082-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Failure - File Transfer Failed
X13146PAZ,5016,1/7/101,2019-03-25 00:00:00,24,Near End,GC0185-TN01.1,AMM 6PC,-,2,0,17,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5016,1/7/100,2019-03-25 00:00:00,24,Near End,GC0185-TN01.1,AMM 6PC,-,1,0,14,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5017,1/7/100,2019-03-25 00:00:00,24,Near End,GCi012-TN01.1,AMM 6PC,-,1,0,100,86386,14,0,0,0,0,0,0,0,-
X13146PAZ,5020,1/7/101,2019-03-25 00:00:00,24,Near End,GC0068-TN01.1,AMM 6PC,-,1,0,14,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5020,1/7/100,2019-03-25 00:00:00,24,Near End,GC0068-TN01.1,AMM 6PC,-,1,0,13,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5023,1/7/100,2019-03-25 00:00:00,24,Near End,GC0056-TN01.1,AMM 6PC,-,1,0,30,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/118,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,13,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/114,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,0,0,0,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/112,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,2,0,14,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/106,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,0,0,0,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/110,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,20,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/101,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,22,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,5026,1/7/100,2019-03-25 00:00:00,24,Near End,GC0004-TN01.1,AMM 6PC,-,1,0,25,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5029,1/7/101,2019-03-25 00:00:00,24,Near End,GC0034-TN01.1,AMM 6PC,-,1,0,16,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5032,1/7/101,2019-03-25 00:00:00,24,Near End,GC0007-TN01.1,AMM 6PC,-,1,0,50,86400,0,0,0,0,0,0,0,0,-
